Player,Points
Oliver Crawford,60
Alvaro Guillen Meza,60
Gianluca Cadenasso,60
Philip Henning,60
Tom Gentzsch,60
Thiago Seyboth Wild,59
Lui Maxted,59
Andrej Martin,58
Thomas Faurel,58
Marko Topo,57
Edas Butvilas,57
Juan Manuel La Serna,57
Florent Bax,57
Lorenzo Giustino,57
Diego Dedura,56
Denis Yevseyev,56
Stefan Palosi,55
Max Alcala Gurri,55
Matteo Martineau,54
Maximus Jones,54
Max Basing,54
Soonwoo Kwon,53
Juan Sebastian Gomez,53
Digvijaypratap Singh,53
Carl Emil Overbeck,53
Jan Choinski,52
Arthur Weber,52
Andrea Vavassori,51
Thiago Monteiro,51
Andrea Guerrieri,51
Jack Draper,50
Guy Den Ouden,50
Yasutaka Uchiyama,50
Cyril Vandermeersch,50
Tai Sach,50
Adam Walton,49
Justin Engel,49
Max Schoenhaus,49
Alex Barrena,49
Nikolas Sanchez Izquierdo,49
Ioannis Xilas,49
Alafia Ayeni,48
Pablo Llamas Ruiz,48
Henri Squire,48
Eduardo Ribeiro,48
Sergey Fomin,48
Duncan Chan,47
Juan Carlos Prado Angelo,47
Daniel Michalski,47
Samuele Pieri,47
Billy Harris,46
Sascha Gueymard Wayenburg,46
Adrian Boitan,45
Daniel Dutra da Silva,45
Ivan Gakhov,44
Yi Zhou,44
Akira Santillan,44
Daniel Milavsky,44
Lilian Marmousez,43
Jerome Kym,43
Matej Dodig,43
Georgii Kravchenko,43
Petr Nesterov,43
Lucio Ratti,43
Cannon Kingsley,43
Mackenzie McDonald,42
Eliakim Coulibaly,42
Mert Alkaya,42
Valerio Aboian,42
Lukas Pokorny,41
Andrej Nedic,41
Tommaso Compagnucci,41
Yaroslav Demin,41
Harry Wendelken,41
Juan Bautista Torres,41
Aidan McHugh,40
Daniel Masur,40
Gavin Young,40
Gonzalo Bueno,40
Petr Brunclik,40
Pedro Boscardin Dias,40
Niels Visker,40
Marco Cecchinato,39
Quinn Vandecasteele,39
Raul Brancaccio,39
Luciano Emanuel Ambrogi,39
Marco Trungelliti,38
Cedrik-Marcel Stebe,38
Max Hans Rehberg,38
Alan Fernando Rubio Fierros,38
Dan Added,38
Christian Langmo,38
Robin Bertrand,38
Petr Bar Biryukov,38
Samuel Vincent Ruggeri,37
Paul Jubb,37
Mats Rosenkranz,36
Darwin Blanch,36
Roberto Bautista Agut,35
Grigor Dimitrov,35
Gabriel Diallo,35
Harold Mayot,35
Mees Rottgering,35
Tristan Boyer,35
Matias Soto,35
Andre Ilagan,35
Robert Strombachs,35
Oriol Roca Batalla,35
Vadym Ursu,35
Juan Pablo Ficovich,34
Hynek Barton,34
Beibit Zhukayev,34
Duje Ajdukovic,34
Murkel Dellien,34
Joaquin Aguilar Cardozo,34
Rodrigo Pacheco Mendez,34
Mathys Erhard,34
Jacob Fearnley,33
Johannus Monday,33
Arthur Bouquier,33
Jonas Forejtek,33
Reda Bennani,33
Hiroki Moriya,33
Dusan Obradovic,33
Lukas Klein,32
Olaf Pieczkowski,32
Erik Arutiunian,32
Maxim Mrva,32
Gauthier Onclin,32
Saba Purtseladze,32
Jacopo Berrettini,31
Matteo Covato,31
Masamichi Imamura,31
Oskar Brostrom Poulsen,31
S D Prajwal Dev,31
Mark Lajal,31
Carlos Taberner,30
Ognjen Milic,30
Joshua Sheehy,30
Leandro Riedi,30
Gianmarco Ferrari,30
Sumit Nagal,30
George Loffhagen,30
Karol Filar,30
Dan Martin,30
Alexander Binda,30
Gabriele Piraino,30
Laslo Djere,29
Laurent Lokoli,29
Cezar Cretu,29
Matheus Pucinelli De Almeida,29
Alejo Sanchez Quilez,29
Geoffrey Blancaneaux,29
Amir Omarkhanov,29
Maxime Chazal,28
Ryan Colby,28
Pedro Sakamoto,28
Marat Sharipov,28
Arthur Nagel,28
Giles Hussey,28
Kimmer Coppejans,27
Martin Krumich,27
Karlis Ozolins,27
Karl Poling,27
Karan Singh,27
Gonzalo Villanueva,27
Mika Brunold,26
Matt Kuhar,26
Stefano Napolitano,26
Mitsuki Wei Kang Leong,26
Nicolas Tepmahc,26
Andrey Chepelev,26
Dimitris Sakellaridis,26
Jack Anthrop,25
Elmar Ejupovic,25
Manuel Plunger,25
Thanasi Kokkinakis,25
Luka Pavlovic,25
Ivan Marrero Curbelo,25
Semen Pankin,25
Patrick Schoen,25
Christoph Negritu,25
Tibo Colson,25
Marc Polmans,25
Olle Wallin,25
Emile Hudd,25
Carlos Lopez Montagud,25
Sergi Perez Contri,25
Rudolf Molleker,25
Nicolas Kicker,25
Jack Loge,25
Tomas Farjat,24
Daniel Antonio Nunez,24
Giulio Zeppieri,24
Martin Landaluce,24
Alejandro Juan Mano,24
Anton Matusevich,24
Cruz Hewitt,24
Pierre Yves Bailly,24
Matthew William Donald,24
Nino Ehrenschneider,24
Robin Catry,24
Ben Jones,24
Oleksandr Ovcharenko,24
Yannik Kelm,24
William Grant,24
Manish Sureshkumar,24
Shintaro Mochizuki,23
Yuta Kawahashi,23
Yanki Erel,23
Federico Arnaboldi,23
Shunsuke Mitsui,23
Lucas Poullain,23
Neil Oberleitner,23
Luca Staeheli,23
Louis Wessels,23
Filippo Romano,23
Felix Balshaw,23
Federico Iannaccone,23
Sergio Callejon Hernando,23
Pierre Delage,23
Kenta Miyoshi,22
Tom Paris,22
Pedro Rodenas,22
Daniel Elahi Galan,22
Thijs Boogaard,22
Nitin Kumar Sinha,22
Yuta Shimizu,22
Taha Baadi,22
Philip Sekulic,22
Patrick Zahraj,22
Henrique Rocha,22
Marvin Moeller,22
Genaro Alberto Olivieri,22
Stefan Popovic,22
Izan Almazan Valiente,22
David Jorda Sanchis,22
Peter Makk,21
Bruno Fernandez,21
Tomasz Berkieta,21
Alberto Barroso Campos,21
Blaise Bicknell,21
Jake Delaney,21
Felix Corwin,21
Hyeon Chung,21
Romain Faucon,21
Timofei Derepasko,21
Ryan Fishback,21
Aziz Ouakaa,21
Gilles Arnaud Bailly,20
Jacopo Vasami,20
Dong Ju Kim,20
Alex Martinez,20
Pavle Marinkov,20
Ergi Kirkin,20
Carlos Maria Zarate,20
Andreja Petrovic,20
Joao Lucas Reis Da Silva,20
Ivan Ivanov,20
Fausto Tabacco,20
Eric Vanshelboim,20
Andrew Johnson,19
Johan Nikles,19
Viktor Durasovic,19
Maximo Zeitune,19
Natan Rodrigues,19
Rodrigo Alujas,19
Mika Petkovic,19
Hikaru Shiraishi,19
Sandro Kopp,19
Toufik Sahtali,19
Garrett Johns,19
Samuel Heredia,19
Tiago Pereira,19
Nicolas Barrientos,18
Alexey Vatutin,18
Marlon Vankan,18
Cesar Bouchelaghem,18
Pawit Sornlaksup,18
Li Tu,18
Enrico Dalla Valle,18
Leo Vithoontien,18
Massimo Giunta,18
Tiago Torres,18
Michele Ribecai,18
Andres Martin,18
Ryan Dickerson,18
Matteo Arnaldi,17
Filip Misolic,17
